,Country,City,lat,lng,temp,humidity,cloudy,windy
0,RU,Aykhal,66.0,111.5,-13.0,50,0,2.0
1,IN,Port Blair,11.67,92.75,28.58,73,29,1.98
2,SA,Riyadh,24.69,46.72,26.0,47,99,1.5
3,IR,Birjand,32.87,59.22,12.0,76,20,6.2
4,US,Saint Paul Harbor,57.79,-152.41,8.0,75,1,3.6
5,CN,Hede,33.77,120.25,10.34,92,100,4.56
6,PH,Tabuk,17.42,121.44,23.19,84,100,2.21
7,AO,Soyo,-6.13,12.37,25.81,83,98,2.32
8,CL,Punta Arenas,-53.15,-70.92,12.89,43,75,7.7
9,ZA,Hermanus,-34.42,19.23,20.0,47,65,0.83
10,MZ,Inhambane,-23.86,35.38,25.0,69,20,3.1
11,PF,Rikitea,-23.12,-134.97,25.05,73,18,3.37
12,CG,Sémbé,1.65,14.58,22.85,81,98,0.38
13,AR,Río Gallegos,-51.62,-69.22,16.0,51,75,9.3
14,SS,Raja,8.46,25.68,25.31,14,67,0.6
15,CA,Tuktoyaktuk,69.45,-133.04,-13.0,78,40,1.5
16,US,Meadow Lake,34.8,-106.54,16.73,18,75,3.1
17,AR,Ushuaia,-54.8,-68.3,10.0,69,75,8.2
18,ZA,Port Alfred,-33.59,26.89,18.33,94,0,2.24
19,IS,Hofn,64.25,-15.21,7.42,87,100,7.85
20,IR,Fasa,28.94,53.65,12.0,93,75,0.69
21,US,Nantucket,41.28,-70.1,4.81,93,90,8.7
22,MX,Ixtapa,20.7,-105.2,26.0,69,90,6.2
23,BR,Cidreira,-30.18,-50.21,20.24,78,0,5.09
24,AU,New Norfolk,-42.78,147.06,5.54,86,60,1.09
25,ZA,Cape Town,-33.93,18.42,18.13,72,91,1.5
26,US,Toccoa,34.58,-83.33,23.13,22,1,4.1
27,MX,San Patricio,19.22,-104.7,28.0,78,20,5.1
28,ZA,Bredasdorp,-34.53,20.04,14.0,87,42,0.5
29,RU,Ust'-Ishim,57.69,71.17,7.28,79,100,2.63
30,RU,Ola,59.58,151.28,-12.22,91,100,6.43
31,PT,Ribeira Grande,38.52,-28.7,17.0,93,75,7.2
32,RU,Saskylakh,71.92,114.08,-12.84,80,0,2.35
33,CK,Avarua,-21.21,-159.78,27.0,74,54,2.6
34,SS,Leer,8.3,30.14,29.51,19,98,1.03
35,NZ,Bluff,-46.6,168.33,6.11,91,100,2.24
36,JP,Hasaki,35.73,140.83,10.35,93,75,2.1
37,IL,Kiryat Gat,31.61,34.76,17.08,16,0,3.35
38,RU,Khatanga,71.97,102.5,-12.48,93,0,2.26
39,ZA,Port Elizabeth,-33.92,25.57,19.0,93,0,2.1
40,NZ,Te Anau,-45.42,167.72,7.83,73,100,3.11
41,AU,Hobart,-42.88,147.33,6.59,87,75,3.1
42,MX,Balancán,17.8,-91.53,36.0,41,40,3.75
43,MU,Mahébourg,-20.41,57.7,25.83,74,40,5.7
44,AU,Busselton,-33.65,115.33,15.9,79,100,10.87
45,MN,Mandalgovi,45.76,106.27,-0.41,49,100,12.35
46,RU,Yerbogachën,61.28,108.01,-12.29,91,3,2.49
47,CA,Thompson,55.74,-97.86,-10.0,51,40,5.1
48,ML,Kolokani,13.57,-8.03,35.69,10,100,2.19
49,US,Homer,59.64,-151.55,9.23,76,1,4.1
50,AU,Carnarvon,-24.87,113.63,23.0,88,40,7.2
51,PT,Ponta do Sol,32.67,-17.1,14.49,58,24,6.26
52,ZA,Kruisfontein,-34.0,24.73,18.44,43,0,2.72
53,IS,Husavik,66.04,-17.34,8.0,75,90,20.1
54,ID,Panji,-7.73,114.1,26.57,75,67,0.92
55,US,Albany,42.6,-73.97,5.84,64,93,2.68
56,NZ,Mataura,-46.19,168.86,6.11,91,100,2.24
57,PG,Kavieng,-2.57,150.8,27.71,78,92,1.79
58,RU,Yar-Sale,66.83,70.83,1.4,98,100,3.25
59,GM,Brufut,13.38,-16.75,25.0,57,100,5.7
60,AR,Comodoro Rivadavia,-45.87,-67.5,24.0,25,40,12.3
61,PT,Porto Santo,33.07,-16.34,17.0,72,40,6.2
62,ZA,Saldanha,-33.01,17.94,20.0,40,96,2.6
63,US,Kapaa,22.08,-159.32,25.08,65,1,5.1
64,RE,Saint-Philippe,-21.36,55.77,21.22,78,20,7.7
65,MQ,Le Vauclin,14.55,-60.84,28.05,58,8,6.2
66,US,Barrow,71.29,-156.79,-19.0,77,1,4.6
67,US,Jamestown,42.1,-79.24,6.05,48,75,6.2
68,LV,Līvāni,56.35,26.18,1.32,84,70,3.54
69,AR,General Roca,-39.03,-67.58,31.0,29,100,2.6
70,RU,Cherskiy,68.75,161.3,-17.05,87,50,2.44
71,US,Glenwood Springs,39.55,-107.32,5.1,55,75,4.1
72,US,Bethel,41.37,-73.41,4.92,80,90,4.1
73,CA,Goderich,43.75,-81.72,11.11,49,46,8.08
74,BR,Palmares do Sul,-30.26,-50.51,19.42,78,0,3.48
75,NO,Vardø,70.37,31.11,2.26,83,97,9.09
76,TR,Erzin,36.96,36.2,19.37,56,96,7.2
77,SO,Kismayo,-0.36,42.55,28.41,79,100,4.14
78,ID,Bengkulu,-3.8,102.27,24.85,85,100,1.8
79,IR,Rafsanjān,30.41,55.99,17.78,28,51,3.2
80,NZ,Kaitangata,-46.28,169.85,6.58,89,100,3.41
81,CA,Whitehorse,60.72,-135.05,8.94,39,20,0.42
82,CA,Torbay,47.67,-52.73,3.56,47,75,8.7
83,JP,Fukuechō,32.69,128.84,15.42,70,96,6.8
84,HN,Puerto Lempira,15.27,-83.77,33.0,63,20,3.6
85,ES,Los Llanos de Aridane,28.66,-17.92,17.29,64,20,8.7
86,RU,Zhukovka,53.53,33.73,1.44,82,100,2.48
87,RU,Teya,60.38,92.63,-2.64,94,71,1.57
88,CA,Saint-Augustin,51.23,-58.65,-1.8,89,56,7.19
89,PF,Faanui,-16.48,-151.75,28.26,73,26,4.28
90,PE,Lima,-12.04,-77.03,26.0,61,10,4.1
91,JP,Hachinohe,40.5,141.5,6.64,93,90,10.8
92,LY,Zliten,32.47,14.57,19.97,54,28,5.11
93,IN,Sompeta,18.93,84.6,26.84,78,0,4.66
94,IN,Pithorāgarh,29.58,80.22,12.5,38,4,1.52
95,MX,Coahuayana Viejo,18.73,-103.68,30.0,40,40,3.56
96,MR,Nouakchott,18.09,-15.98,21.0,73,0,11.8
97,AU,Esperance,-33.87,121.9,15.0,100,75,5.7
98,RU,Ayan,56.45,138.17,-10.42,84,74,5.31
99,GL,Ilulissat,69.22,-51.1,-3.48,91,100,2.37
100,MV,Hithadhoo,-0.6,73.08,28.75,75,98,5.13
101,PF,Atuona,-9.8,-139.03,27.98,79,98,8.05
102,CA,Yellowknife,62.46,-114.35,-4.85,79,90,5.1
103,VE,Upata,8.01,-62.4,32.92,29,87,2.49
104,ZW,Kariba,-16.52,28.8,23.34,49,57,1.78
105,TL,Airai,-8.93,125.41,15.42,56,44,1.28
106,NG,Yenagoa,4.92,6.26,26.03,89,82,1.77
107,MR,Atar,20.52,-13.05,23.88,19,0,3.72
108,TC,Cockburn Town,21.46,-71.14,26.14,78,66,5.77
109,PH,Bacolod City,10.67,122.95,26.12,78,0,3.92
110,TO,Vaini,-21.2,-175.2,25.0,83,40,4.6
111,RU,Syrskoye,52.57,39.5,0.0,75,41,4.0
112,GB,Blyth,55.13,-1.51,6.33,80,0,1.5
113,RU,Nikolskoye,59.7,30.79,2.27,93,90,6.0
114,RU,Ostrovnoy,68.05,39.51,-0.79,97,99,3.85
115,US,Avera,33.19,-82.53,25.0,34,1,7.2
116,CN,Kumul,42.8,93.45,16.88,21,100,5.34
117,MX,Mundo Nuevo (Ojo de Agua),18.7,-95.5,32.25,57,0,6.67
118,RU,Salekhard,66.53,66.6,0.36,96,100,2.35
119,RU,Dikson,73.51,80.55,1.91,90,100,8.46
120,ID,Kutoarjo,-7.72,109.91,26.11,78,94,2.31
121,CL,Ancud,-41.87,-73.82,15.0,82,75,7.7
122,ZA,East London,-33.02,27.91,21.79,66,0,7.84
123,ID,Padang,-0.95,100.35,25.71,77,95,0.71
124,CA,Fort Nelson,58.81,-122.7,13.0,32,75,7.2
125,US,Sitka,57.05,-135.33,6.69,87,40,1.93
126,AU,Nelson Bay,-32.72,152.15,10.18,93,40,1.5
127,CA,Port Hardy,50.7,-127.42,9.0,87,40,3.1
128,AU,Port Lincoln,-34.73,135.87,14.55,75,33,3.69
129,AU,Narrabri,-30.32,149.78,6.77,81,0,0.56
130,KI,Butaritari,3.07,172.79,28.28,77,93,5.57
131,AO,Mossamedes,-15.2,12.15,23.04,73,88,2.83
132,BR,Arraial do Cabo,-22.97,-42.03,24.0,78,20,4.1
133,RU,Provideniya,64.38,-173.3,-5.53,95,100,6.5
134,PE,Pisco,-13.7,-76.22,23.95,64,45,3.1
135,US,Half Moon Bay,37.46,-122.43,15.27,67,90,3.1
136,TD,Am Timan,11.03,20.28,29.15,10,63,0.86
137,CL,Santiago,-33.46,-70.65,28.1,20,50,3.1
138,MX,Cabo San Lucas,22.89,-109.91,24.64,56,5,8.7
139,BS,Marsh Harbour,26.54,-77.06,27.08,75,44,5.73
140,SO,Hobyo,5.35,48.53,29.32,71,17,5.06
141,VU,Isangel,-19.55,169.27,26.44,81,85,4.69
142,PG,Daru,-9.08,143.21,26.37,86,39,3.42
143,RU,Oktyabr'skiy,54.48,53.47,2.17,79,46,3.12
